,,,,ProbCox - Rank: 10 ,,,,,,,ProbCox - Rank: 30,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
0.1,,0.01,0.02,0.1,0.28,1,0,,0.01,0.01,0.1,0.24,1,0
0.31,,0.23,0.06,0.1,0.37,1,0.05,,0.25,0.05,0.08,0.43,1,0.06
0.97,,0.87,0.09,0.13,0.41,0.84,1,,0.87,0.09,0.13,0.42,0.86,1
-0.39,,-0.3,0.08,0.12,0.4,1,0.28,,-0.31,0.08,0.12,0.42,1,0.3
-0.77,,-0.7,0.09,0.11,0.43,0.96,1,,-0.7,0.09,0.1,0.4,0.95,1
0.24,,0.29,0.04,0.06,0.47,1,0.12,,0.26,0.05,0.06,0.4,1,0.12
0.96,,0.96,0.08,0.08,0.38,1,1,,0.96,0.08,0.08,0.41,1,1
0.62,,0.48,0.12,0.18,0.44,0.74,0.91,,0.47,0.12,0.19,0.42,0.72,0.92
0.03,,0,0.01,0.02,0.19,1,0,,0.01,0.02,0.03,0.21,1,0
-0.92,,-0.9,0.08,0.08,0.4,0.98,1,,-0.9,0.08,0.09,0.41,0.98,1
-1.51,,-1.22,0.04,0.3,0.37,0,1,,-1.22,0.04,0.3,0.42,0.02,1
0.03,,0,0.02,0.04,0.23,1,0,,0,0.02,0.04,0.21,1,0
-1.1,,-1.07,0.07,0.08,0.4,1,1,,-1.06,0.07,0.08,0.37,0.98,1
-1.16,,-0.99,0.07,0.18,0.4,0.72,1,,-0.99,0.07,0.18,0.4,0.72,1
1.18,,1.11,0.06,0.08,0.35,0.97,1,,1.11,0.06,0.09,0.39,0.99,1
0,,0,0.01,0.01,0.24,1,0,,0.01,0.02,0.02,0.27,1,0
0.24,,0.02,0.01,0.22,0.23,0,0,,0.03,0.02,0.21,0.31,0.1,0
0.6,,0.6,0.11,0.11,0.42,0.94,1,,0.6,0.11,0.11,0.39,0.93,1
-0.12,,-0.03,0.04,0.1,0.23,0.54,0.02,,-0.03,0.04,0.1,0.23,0.56,0.02
0.58,,0.39,0.1,0.22,0.42,0.54,0.76,,0.38,0.1,0.22,0.42,0.48,0.76
,,,,,,,,,,,,,,
,,,,Adaptive Lasso - $\lambda_{min}^{w=\lambda_{1se}}$,,,,,,,,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,,,,,,
0.1,,0,0.01,0.1,-,-,0.01,,,,,,,
0.31,,0.24,0.09,0.11,-,-,0.48,,,,,,,
0.97,,0.91,0.12,0.14,-,-,1,,,,,,,
-0.39,,-0.46,0.1,0.12,-,-,0.2,,,,,,,
-0.77,,-0.76,0.11,0.11,-,-,0.98,,,,,,,
0.24,,0.24,0.08,0.08,-,-,0.46,,,,,,,
0.96,,0.92,0.1,0.11,-,-,1,,,,,,,
0.62,,0.52,0.11,0.15,-,-,1,,,,,,,
0.03,,0,0.01,0.03,-,-,0,,,,,,,
-0.92,,-0.87,0.11,0.12,-,-,1,,,,,,,
-1.51,,-1.46,0.14,0.15,-,-,1,,,,,,,
0.03,,0,0.01,0.03,-,-,0.01,,,,,,,
-1.1,,-1.06,0.11,0.12,-,-,1,,,,,,,
-1.16,,-1.08,0.13,0.15,-,-,1,,,,,,,
1.18,,1.15,0.13,0.13,-,-,1,,,,,,,
0,,0,0.01,0.01,-,-,0,,,,,,,
0.24,,0.08,0.09,0.18,-,-,0.06,,,,,,,
0.6,,0.57,0.09,0.1,-,-,1,,,,,,,
-0.12,,-0.27,0.05,0.16,-,-,0.03,,,,,,,
0.58,,0.61,0.1,0.11,-,-,0.64,,,,,,,