$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{CI}_{95\%}$ , $Coverage_{95\%}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ 
-0.9,,-0.91,0.23,0.23,0.91,0.95,,-0.89,0.25,0.25,1.01,0.94,,-0.88,0.23,0.23,0.96,0.94,,-0.88,0.23,0.23,0.93,0.95,,-0.88,0.22,0.22,0.88,0.95
0.2,,0.2,0.16,0.16,0.64,0.96,,0.18,0.18,0.18,0.77,0.96,,0.19,0.18,0.18,0.71,0.94,,0.19,0.17,0.17,0.68,0.95,,0.19,0.16,0.16,0.65,0.96
0,,-0.01,0.18,0.18,0.68,0.94,,-0.03,0.2,0.2,0.81,0.95,,-0.03,0.19,0.2,0.75,0.95,,-0.03,0.19,0.19,0.73,0.95,,-0.02,0.18,0.18,0.68,0.94
-0.4,,-0.4,0.07,0.07,0.27,0.96,,-0.39,0.09,0.09,0.33,0.92,,-0.39,0.08,0.08,0.3,0.93,,-0.39,0.08,0.08,0.29,0.94,,-0.39,0.07,0.07,0.28,0.94
1.1,,1.1,0.07,0.07,0.28,0.96,,1.1,0.1,0.1,0.36,0.93,,1.09,0.09,0.09,0.33,0.95,,1.09,0.08,0.08,0.31,0.94,,1.09,0.08,0.08,0.29,0.95
0,,0,0.07,0.07,0.27,0.94,,-0.01,0.09,0.09,0.33,0.93,,0,0.08,0.08,0.3,0.92,,-0.01,0.08,0.08,0.29,0.93,,0,0.07,0.07,0.27,0.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,,0.8,0.28,0.28,1.04,0.95,,0.71,0.29,0.3,1.23,0.96,,0.72,0.28,0.29,1.16,0.95,,0.72,0.28,0.29,1.1,0.93,,0.74,0.26,0.27,1.04,0.95
-0.5,,-0.54,0.38,0.38,1.49,0.95,,-0.52,0.35,0.35,1.57,0.95,,-0.51,0.35,0.35,1.49,0.95,,-0.5,0.34,0.34,1.44,0.96,,-0.5,0.32,0.32,1.38,0.96
0,,-0.03,0.34,0.34,1.26,0.95,,-0.09,0.35,0.36,1.41,0.95,,-0.07,0.33,0.34,1.34,0.94,,-0.06,0.32,0.33,1.28,0.95,,-0.05,0.31,0.31,1.21,0.95
-0.7,,-0.7,0.12,0.12,0.5,0.96,,-0.71,0.14,0.14,0.6,0.95,,-0.7,0.14,0.14,0.57,0.95,,-0.7,0.14,0.14,0.54,0.94,,-0.69,0.12,0.12,0.5,0.96
1,,1,0.13,0.13,0.5,0.95,,1.01,0.16,0.16,0.63,0.94,,1,0.15,0.15,0.58,0.93,,0.99,0.14,0.14,0.55,0.95,,0.99,0.13,0.13,0.51,0.96
0,,0,0.13,0.13,0.49,0.96,,0,0.15,0.15,0.59,0.93,,0,0.14,0.14,0.55,0.93,,0.01,0.14,0.14,0.52,0.94,,0,0.13,0.13,0.5,0.96